"Calendar year","Donor code","Donor","Math expression"
"2011","USA","United States of America","4,607,303,248"
"2011","JPN","Japan","1,920,837,541"
"2011","GBR","United Kingdom of Great Britain and Northern Ireland","1,728,817,711"
"2011","CAN","Canada","1,295,498,057"
"2011","NOR","Norway","1,114,276,974"
"2011","SWE","Sweden","1,084,657,064"
"2011","DEU","Germany","966,440,215"
"2011","NLD","Netherlands","888,388,593"
"2011","AUS","Australia","698,467,502"
"2011","ESP","Spain","607,652,881"
"2011","FRA","France","524,186,228"
"2011","ITA","Italy","464,323,197"
"2011","DNK","Denmark","456,508,752"
"2011","BRA","Brazil","422,613,873"
"2011","CHE","Switzerland","341,371,833"
"2011","BEL","Belgium","336,541,603"
"2011","FIN","Finland","328,858,307"
"2011","ARG","Argentina","322,069,309"
"2011","EC","European Commission","306,854,051"
"2011","CHN","China","230,139,689"
"2011","RUS","Russian Federation","200,332,889"
"2011","KOR","Republic of Korea","199,843,076"
"2011","SAU","Saudi Arabia","186,787,087"
"2011","IRL","Ireland","154,908,091"
"2011","MEX","Mexico","146,877,151"
"2011","LUX","Luxembourg","105,471,820"
"2011","EGY","Egypt","96,765,950"
"2011","COL","Colombia","94,066,891"
"2011","IND","India","76,820,721"
"2011","AUT","Austria","70,259,392"
"2011","ARE","United Arab Emirates","69,018,978"
"2011","NZL","New Zealand","68,679,439"
"2011","TUR","Turkey","65,692,707"
"2011","PAN","Panama","55,574,919"
"2011","KWT","Kuwait","52,249,488"
"2011","VEN","Venezuela (Bolivarian Republic of)","42,529,511"
"2011","POL","Poland","41,397,374"
"2011","PER","Peru","38,771,982"
"2011","GRC","Greece","38,099,091"
"2011","PAK","Pakistan","37,889,494"
"2011","PRT","Portugal","32,536,838"
"2011","IRQ","Iraq","30,785,644"
"2011","ZAF","South Africa","28,850,118"
"2011","MYS","Malaysia","23,051,484"
"2011","NGA","Nigeria","21,208,289"
"2011","SGP","Singapore","20,695,687"
"2011","ISR","Israel","20,651,258"
"2011","CZE","Czech Republic","20,464,858"
"2011","DOM","Dominican Republic","20,059,276"
"2011","PRY","Paraguay","19,451,041"
"2011","HTI","Haiti","18,873,157"
"2011","CHL","Chile","18,632,617"
"2011","HUN","Hungary","17,237,860"
"2011","MAR","Morocco","16,404,287"
"2011","SLV","El Salvador","16,287,380"
"2011","GTM","Guatemala","15,606,375"
"2011","PHL","Philippines","15,532,357"
"2011","IDN","Indonesia","15,480,621"
"2011","THA","Thailand","15,221,553"
"2011","URY","Uruguay","14,958,234"
"2011","COD","Democratic Republic of the Congo","14,449,461"
"2011","BEN","Benin","14,107,979"
"2011","AFG","Afghanistan","12,909,408"
"2011","QAT","Qatar","12,484,677"
"2011","LBN","Lebanon","12,212,124"
"2011","ROU","Romania","11,666,601"
"2011","AECID","AECID","11,580,819"
"2011","TGO","Togo","11,374,577"
"2011","SYR","Syrian Arab Republic","11,277,358"
"2011","ETH","Ethiopia","10,989,444"
"2011","IRN","Iran (Islamic Republic of)","10,962,424"
"2011","AZE","Azerbaijan","10,076,324"
"2011","BGD","Bangladesh","9,604,619"
"2011","HRV","Croatia","9,557,482"
"2011","LBY","Libya","9,445,510"
"2011","SVK","Slovakia","8,505,155"
"2011","DZA","Algeria","8,327,435"
"2011","CYP","Cyprus","8,146,984"
"2011","WBGROUP","World Bank","8,139,255"
"2011","CRI","Costa Rica","7,993,370"
"2011","SOM","Somalia","7,852,417"
"2011","KHM","Cambodia","7,401,014"
"2011","HND","Honduras","7,117,505"
"2011","GNB","Guinea-Bissau","6,967,051"
"2011","BWA","Botswana","6,873,490"
"2011","HKG","Hong Kong China (c)","6,838,224"
"2011","SVN","Slovenia","6,543,221"
"2011","COG","Congo","6,441,062"
"2011","KAZ","Kazakhstan","5,967,990"
"2011","BHR","Bahrain","5,957,546"
"2011","KEN","Kenya","5,954,189"
"2011","OMN","Oman","5,530,010"
"2011","LTU","Lithuania","5,510,088"
"2011","NPL","Nepal","5,485,658"
"2011","LBR","Liberia","5,473,933"
"2011","UKR","Ukraine","5,394,170"
"2011","GAB","Gabon","5,224,859"
"2011","MKD","The former Yugoslav Republic of Macedonia","5,183,491"
"2011","SDN","Sudan","5,169,890"
"2011","CUB","Cuba","5,084,549"
"2011","ISL","Iceland","5,043,000"
"2011","BOL","Bolivia (Plurinational State of)","4,844,167"
"2011","NAM","Namibia","4,823,629"
"2011","CMR","Cameroon","4,562,297"
"2011","TCD","Chad","3,965,424"
"2011","MCO","Monaco","3,889,407"
"2011","TWN","Chinese Taipei","3,710,659"
"2011","CIV","Cote d'Ivoire","3,400,372"
"2011","VNM","Viet Nam","3,378,002"
"2011","EST","Estonia","3,361,601"
"2011","BHS","Bahamas","3,320,871"
"2011","TTO","Trinidad and Tobago","3,173,855"
"2011","TUN","Tunisia","3,110,015"
"2011","GEO","Georgia","3,084,718"
"2011","NIC","Nicaragua","3,043,638"
"2011","JOR","Jordan","2,970,263"
"2011","MLI","Mali","2,950,949"
"2011","ZMB","Zambia","2,834,198"
"2011","LIE","Liechtenstein","2,824,645"
"2011","SLE","Sierra Leone","2,789,594"
"2011","MLT","Malta","2,786,750"
"2011","BDI","Burundi","2,657,972"
"2011","MHL","Marshall Islands","2,646,464"
"2011","GNQ","Equatorial Guinea","2,640,824"
"2011","BFA","Burkina Faso","2,633,279"
"2011","LKA","Sri Lanka","2,509,403"
"2011","BGR","Bulgaria","2,480,755"
"2011","MNE","Montenegro","2,477,381"
"2011","ZWE","Zimbabwe","2,198,469"
"2011","SRB","Serbia","2,127,472"
"2011","BIH","Bosnia and Herzegovina","2,065,430"
"2011","LVA","Latvia","1,981,053"
"2011","MRT","Mauritania","1,967,949"
"2011","BLR","Belarus","1,921,109"
"2011","GHA","Ghana","1,893,837"
"2011","MUS","Mauritius","1,884,288"
"2011","ERI","Eritrea","1,752,263"
"2011","AND","Andorra","1,673,544"
"2011","RWA","Rwanda","1,668,822"
"2011","TKM","Turkmenistan","1,589,620"
"2011","AGO","Angola","1,512,039"
"2011","PRIVATE","Private","1,506,000"
"2011","BRN","Brunei Darussalam","1,496,504"
"2011","SWZ","Swaziland","1,474,258"
"2011","KOS","Kosovo","1,395,763"
"2011","JAM","Jamaica","1,366,669"
"2011","PNG","Papua New Guinea","1,335,146"
"2011","SEN","Senegal","1,328,448"
"2011","UZB","Uzbekistan","1,321,000"
"2011","ALB","Albania","1,282,992"
"2011","RAFR","REGIONAL FOR AFRICA","1,259,802"
"2011","ARM","Armenia","1,184,451"
"2011","MAC","The special administrative region of Macao China","1,184,280"
"2011","FLEM","Flemish Government","1,091,718"
"2011","TZA","United Republic of Tanzania","965,095"
"2011","GUY","Guyana","960,890"
"2011","STP","Sao Tome and Principe","959,314"
"2011","ATG","Antigua and Barbuda","954,547"
"2011","MNG","Mongolia","920,241"
"2011","DJI","Djibouti","901,518"
"2011","LSO","Lesotho","896,903"
"2011","KGZ","Kyrgyzstan","895,254"
"2011","UGA","Uganda","881,132"
"2011","MDG","Madagascar","782,209"
"2011","PSE","State of Palestine","759,095"
"2011","YEM","Yemen","755,151"
"2011","FJI","Fiji","694,850"
"2011","TJK","Tajikistan","656,062"
"2011","BRB","Barbados","642,591"
"2011","PRK","Democratic People's Republic of Korea","584,890"
"2011","MOZ","Mozambique","575,915"
"2011","VCT","Saint Vincent and the Grenadines","561,881"
"2011","SUR","Suriname","554,747"
"2011","MMR","Myanmar","540,443"
"2011","NER","Niger","485,396"
"2011","SMR","San Marino","481,069"
"2011","BLZ","Belize","467,635"
"2011","CPV","Cabo Verde","417,576"
"2011","MDA","Republic of Moldova","399,050"
"2011","RLAT","REGIONAL FOR LATIN AMERICA","379,737"
"2011","NORAD","NORAD","375,884"
"2011","TLS","Timor-Leste","363,414"
"2011","GRD","Grenada","341,385"
"2011","SSD","South Sudan","335,858"
"2011","VUT","Vanuatu","333,099"
"2011","DMA","Dominica","316,170"
"2011","ADB","Asian Development Bank","299,930"
"2011","SYC","Seychelles","285,050"
"2011","GIN","Guinea","281,144"
"2011","GMB","Gambia","274,658"
"2011","BTN","Bhutan","264,222"
"2011","KNA","Saint Kitts and Nevis","259,575"
"2011","FSM","Micronesia (Federated States of)","254,366"
"2011","MDV","Maldives","254,197"
"2011","LAO","Lao People's Democratic Republic","230,129"
"2011","WSM","Samoa","220,901"
"2011","LCA","Saint Lucia","219,719"
"2011","RASA","REGIONAL FOR ASIA","195,437"
"2011","TON","Tonga","186,431"
"2011","VAT","Holy See","181,111"
"2011","VGB","British Virgin Islands","180,664"
"2011","COM","Comoros","178,810"
"2011","KIR","Kiribati","175,775"
"2011","SLB","Solomon Islands","163,934"
"2011","CAF","Central African Republic","159,118"
"2011","NRU","Nauru","140,556"
"2011","TUV","Tuvalu","130,991"
"2011","PRI","Puerto Rico","103,452"
"2011","FRO","Faroe Islands","94,987"
"2011","PLW","Palau","85,278"
"2011","COK","Cook Islands","71,664"
"2011","REUR","REGIONAL FOR EUROPE","55,087"
"2011","CYM","Cayman Islands","36,210"
"2011","ABW","Aruba","32,780"
"2011","AIA","Anguilla","27,791"
"2011","BMU","Bermuda","24,512"
"2011","TCA","Turks & Caicos","15,076"
"2011","NIU","Niue","9,165"
"2011","TKL","Tokelau","7,117"
"2011","GIB","Gibraltar","3,701"
"2011","MSR","Montserrat","3,430"
