"Calendar year","Donor code","Donor","Math expression"
"2014","USA","United States of America","10,066,592,972"
"2014","JPN","Japan","2,779,170,832"
"2014","GBR","United Kingdom of Great Britain and Northern Ireland","2,747,126,500"
"2014","DEU","Germany","2,205,872,244"
"2014","CAN","Canada","1,359,510,309"
"2014","SWE","Sweden","1,264,738,580"
"2014","SAU","Saudi Arabia","1,263,932,223"
"2014","BRA","Brazil","1,166,676,859"
"2014","NOR","Norway","1,149,246,838"
"2014","FRA","France","1,123,040,775"
"2014","NLD","Netherlands","1,011,366,522"
"2014","CHN","China","908,710,252"
"2014","AUS","Australia","889,543,902"
"2014","ITA","Italy","864,106,562"
"2014","CHE","Switzerland","703,422,744"
"2014","DNK","Denmark","593,001,201"
"2014","ESP","Spain","561,610,244"
"2014","FIN","Finland","505,544,942"
"2014","RUS","Russian Federation","472,413,983"
"2014","KOR","Republic of Korea","438,277,201"
"2014","BEL","Belgium","388,969,362"
"2014","ARG","Argentina","306,208,392"
"2014","PER","Peru","294,816,330"
"2014","KWT","Kuwait","282,971,473"
"2014","COL","Colombia","242,707,830"
"2014","IRL","Ireland","190,016,974"
"2014","MEX","Mexico","181,322,739"
"2014","ARE","United Arab Emirates","175,265,952"
"2014","AUT","Austria","151,672,576"
"2014","TUR","Turkey","135,996,910"
"2014","NZL","New Zealand","127,168,171"
"2014","QAT","Qatar","116,643,329"
"2014","GRC","Greece","116,120,116"
"2014","VEN","Venezuela (Bolivarian Republic of)","101,483,651"
"2014","PRK","Democratic People's Republic of Korea","99,235,617"
"2014","IND","India","96,504,636"
"2014","LUX","Luxembourg","92,834,704"
"2014","POL","Poland","80,813,221"
"2014","PAN","Panama","75,097,544"
"2014","PRT","Portugal","73,025,295"
"2014","EGY","Egypt","63,342,153"
"2014","NGA","Nigeria","62,196,628"
"2014","SGP","Singapore","56,435,739"
"2014","ISR","Israel","56,161,319"
"2014","CZE","Czech Republic","51,569,079"
"2014","SLE","Sierra Leone","48,209,447"
"2014","MYS","Malaysia","45,216,160"
"2014","IDN","Indonesia","43,787,787"
"2014","SSD","South Sudan","43,416,491"
"2014","CHL","Chile","42,638,251"
"2014","THA","Thailand","41,804,814"
"2014","GIN","Guinea","40,244,164"
"2014","LBR","Liberia","38,815,281"
"2014","ZAF","South Africa","38,259,566"
"2014","CIV","Cote d'Ivoire","38,096,335"
"2014","SLV","El Salvador","37,173,043"
"2014","UNFPA","UNFPA","36,978,758"
"2014","COD","Democratic Republic of the Congo","33,082,317"
"2014","MAR","Morocco","30,126,417"
"2014","PAK","Pakistan","29,611,484"
"2014","LBN","Lebanon","29,272,852"
"2014","CYP","Cyprus","29,074,612"
"2014","HUN","Hungary","28,356,330"
"2014","IRN","Iran (Islamic Republic of)","27,057,359"
"2014","URY","Uruguay","25,341,995"
"2014","ROU","Romania","25,049,131"
"2014","HKG","Hong Kong China (c)","24,439,139"
"2014","DZA","Algeria","24,364,521"
"2014","KAZ","Kazakhstan","23,668,852"
"2014","OMN","Oman","22,262,837"
"2014","PRY","Paraguay","22,053,753"
"2014","PHL","Philippines","21,259,090"
"2014","SVK","Slovakia","18,448,946"
"2014","HTI","Haiti","16,773,960"
"2014","CRI","Costa Rica","16,718,531"
"2014","SVN","Slovenia","16,296,940"
"2014","DOM","Dominican Republic","16,208,423"
"2014","BHR","Bahrain","15,392,098"
"2014","AZE","Azerbaijan","14,997,241"
"2014","ECU","Ecuador","14,996,594"
"2014","ARM","Armenia","14,994,612"
"2014","MLI","Mali","14,772,275"
"2014","HRV","Croatia","14,429,869"
"2014","AGO","Angola","13,766,400"
"2014","LBY","Libya","13,643,396"
"2014","HND","Honduras","13,431,000"
"2014","GTM","Guatemala","12,590,463"
"2014","UN","United Nations","12,489,000"
"2014","CAF","Central African Republic","12,202,300"
"2014","BHS","Bahamas","12,136,578"
"2014","ISL","Iceland","11,894,171"
"2014","GNQ","Equatorial Guinea","11,852,028"
"2014","CMR","Cameroon","11,244,139"
"2014","AFG","Afghanistan","11,227,985"
"2014","IRQ","Iraq","10,889,411"
"2014","SRB","Serbia","10,311,081"
"2014","EST","Estonia","10,070,868"
"2014","TTO","Trinidad and Tobago","10,054,028"
"2014","UGA","Uganda","9,730,828"
"2014","TZA","United Republic of Tanzania","9,621,490"
"2014","UKR","Ukraine","9,271,784"
"2014","RAFR","REGIONAL FOR AFRICA","9,258,963"
"2014","COG","Congo","7,685,349"
"2014","TCD","Chad","7,519,521"
"2014","BEN","Benin","7,326,835"
"2014","MCO","Monaco","7,221,208"
"2014","JOR","Jordan","7,017,431"
"2014","LTU","Lithuania","6,782,733"
"2014","BGD","Bangladesh","6,535,801"
"2014","BGR","Bulgaria","6,525,431"
"2014","NER","Niger","6,234,219"
"2014","NPL","Nepal","6,029,153"
"2014","GAB","Gabon","5,863,338"
"2014","MKD","The former Yugoslav Republic of Macedonia","5,696,105"
"2014","CUB","Cuba","5,459,452"
"2014","MLT","Malta","5,266,405"
"2014","VNM","Viet Nam","5,260,542"
"2014","SOM","Somalia","5,052,434"
"2014","NAM","Namibia","5,001,218"
"2014","BLR","Belarus","4,916,976"
"2014","BRN","Brunei Darussalam","4,887,754"
"2014","BWA","Botswana","4,826,721"
"2014","LKA","Sri Lanka","4,693,556"
"2014","LVA","Latvia","4,498,361"
"2014","BIH","Bosnia and Herzegovina","4,439,800"
"2014","ETH","Ethiopia","4,281,190"
"2014","JPOP","JUNIOR PROFESSIONAL OFFICERS PROGRAMME","4,101,680"
"2014","SDN","Sudan","3,932,992"
"2014","TLS","Timor-Leste","3,925,067"
"2014","RLAT","REGIONAL FOR LATIN AMERICA","3,895,330"
"2014","TUN","Tunisia","3,891,412"
"2014","MNE","Montenegro","3,833,527"
"2014","SEN","Senegal","3,790,238"
"2014","MHL","Marshall Islands","3,484,068"
"2014","KEN","Kenya","3,463,663"
"2014","PNG","Papua New Guinea","3,341,360"
"2014","JAM","Jamaica","3,339,661"
"2014","TWN","Chinese Taipei","3,072,139"
"2014","NIC","Nicaragua","3,019,101"
"2014","SYR","Syrian Arab Republic","2,978,621"
"2014","PSE","State of Palestine","2,953,821"
"2014","MDG","Madagascar","2,928,706"
"2014","LIE","Liechtenstein","2,905,766"
"2014","GHA","Ghana","2,797,746"
"2014","ZWE","Zimbabwe","2,685,933"
"2014","ALB","Albania","2,499,502"
"2014","MOZ","Mozambique","2,472,721"
"2014","GNB","Guinea-Bissau","2,467,627"
"2014","UZB","Uzbekistan","2,457,111"
"2014","KHM","Cambodia","2,381,573"
"2014","RWA","Rwanda","2,311,422"
"2014","AND","Andorra","2,300,752"
"2014","GEO","Georgia","2,247,973"
"2014","BOL","Bolivia (Plurinational State of)","2,207,190"
"2014","ZMB","Zambia","2,189,951"
"2014","MUS","Mauritius","2,071,369"
"2014","TKM","Turkmenistan","1,981,935"
"2014","GUY","Guyana","1,941,217"
"2014","BRB","Barbados","1,925,556"
"2014","BDI","Burundi","1,681,059"
"2014","SWZ","Swaziland","1,663,270"
"2014","MNG","Mongolia","1,628,065"
"2014","LAO","Lao People's Democratic Republic","1,532,438"
"2014","RASA","REGIONAL FOR ASIA","1,496,839"
"2014","YEM","Yemen","1,375,232"
"2014","MDA","Republic of Moldova","1,323,470"
"2014","MRT","Mauritania","1,287,906"
"2014","MAC","The special administrative region of Macao China","1,229,456"
"2014","MDV","Maldives","1,182,696"
"2014","KOS","Kosovo","1,168,108"
"2014","LSO","Lesotho","1,097,272"
"2014","EUREAST","REGIONAL FOR EUROPE AND MIDDLE EAST","1,082,107"
"2014","MWI","Malawi","1,012,251"
"2014","GMB","Gambia","1,003,776"
"2014","TGO","Togo","998,500"
"2014","MMR","Myanmar","965,189"
"2014","FJI","Fiji","948,741"
"2014","TJK","Tajikistan","939,605"
"2014","STP","Sao Tome and Principe","863,290"
"2014","KGZ","Kyrgyzstan","844,763"
"2014","WSM","Samoa","830,227"
"2014","ATG","Antigua and Barbuda","776,348"
"2014","BFA","Burkina Faso","707,152"
"2014","BLZ","Belize","672,843"
"2014","SMR","San Marino","658,824"
"2014","CPV","Cabo Verde","654,971"
"2014","PRI","Puerto Rico","604,449"
"2014","SLB","Solomon Islands","603,241"
"2014","SUR","Suriname","592,373"
"2014","VUT","Vanuatu","525,323"
"2014","COM","Comoros","516,384"
"2014","SYC","Seychelles","459,208"
"2014","BTN","Bhutan","422,625"
"2014","VCT","Saint Vincent and the Grenadines","368,440"
"2014","ERI","Eritrea","345,656"
"2014","FSM","Micronesia (Federated States of)","340,123"
"2014","DJI","Djibouti","305,660"
"2014","GRD","Grenada","294,284"
"2014","KNA","Saint Kitts and Nevis","294,180"
"2014","TON","Tonga","261,253"
"2014","LCA","Saint Lucia","256,011"
"2014","GIZ","GIZ","249,476"
"2014","DMA","Dominica","246,589"
"2014","VAT","Holy See","230,014"
"2014","NCL","New Caledonia","224,822"
"2014","CUW","Curacao","196,544"
"2014","KIR","Kiribati","192,778"
"2014","GBD","TERRITOIRES D'OUTRE-MER (Royaume -Uni)","169,280"
"2014","NRU","Nauru","165,338"
"2014","COK","Cook Islands","152,635"
"2014","TUV","Tuvalu","143,550"
"2014","ABW","Aruba","130,296"
"2014","PLW","Palau","126,216"
"2014","PX-OCECPR","OCECPR Chypre","84,258"
"2014","REUR","REGIONAL FOR EUROPE","80,321"
"2014","AIA","Anguilla","64,971"
"2014","TKL","Tokelau","51,020"
"2014","NIU","Niue","47,961"
"2014","FRO","Faroe Islands","43,716"
"2014","FLC","Flemish Community of Belgium","41,489"
"2014","MSR","Montserrat","36,016"
"2014","SXM","Sint Maarten (Dutch part)","31,756"
"2014","MAD","Madeira Autonomous Region","28,591"
"2014","VGB","British Virgin Islands","22,949"
"2014","PYF","French Polynesia","13,222"
"2014","CYM","Cayman Islands","9,281"
"2014","ONEUN","UN Delivering as One","-1,685"
"2014","MISC","Miscellaneous","-110,990,936"
